speaker,receiver,start,end,transcript,notes_challenges
A,All,0:01,0:02,Which one do you want to do first?,
,B,0:07,0:10,You want to split up and not talk to each other at all? Okay.,
,Zhou,0:18,0:20,"Oh wait, am I not supposed to open this. You said I could touch anything.",
,A,0:33,0:36,Please open the lid and remove the insulating paper,
,A,0:56,0:59,"Oh, I see. But I can't zero it.",
,A,1:05,1:07,"Oh, interesting.",
,A,1:10,1:11,2.108,
,A,1:15,1:16,2.5,
,C,1:27,1:32,"Huh, ah this one, I think I got it.",
,B,1:34,1:34,No.,
,B,1:37,1:40,Uh less than that the brain,
,B,1:42,1:43,"Well, I guess I could have just looked at it. Uh, I don't remember. You can put it on if you want.",
,B,1:48,1:49,Whose heart is this,
,B,1:52,1:53,No.,
,B,1:53,1:55,What about the other puzzles? How are we feeling?,
,All,2:13,2:17,"Wait, there's not that many combinations of 1, 2, 3, and 4.",
,D,2:24,2:27,It doesn't matter. There's only four. Four digits.,
,All,2:30,2:32,"No, it might take me a while. Anyways go on.",
,D,3:07,3:09,"Oh, I can leave.",
,Zhou,3:13,3:14,"Oh, it is?",
,Zhou,3:16,3:18,Is that how we escape the room?,
,Zhou,3:21,3:21,I see,
,A,3:24,3:25,Number two.,
,A,3:27,3:29,"Three, two, four.",
,C,3:38,3:39,You find something?,
,A,3:56,3:57,Why would it say acidic? What does acidic have to do with anything?,
,A,4:07,4:09,I guess we could do the opposite.,
,C,4:12,4:12,No.,
,All,4:14,4:17,In the ideas? All it says is that,
,B,4:21,4:22,Vials,
,C,4:32,4:33,"Well, I moved them around",
,C,4:36,4:39,What do you think a weak acid means in this context?,
,B,4:41,4:42,Yeah,
,B,4:58,5:00,"Yeah, I did. That's what this is.",
,B,5:02,5:03,You can put it on there,
,B,5:04,5:07,"I should know, actually. You're right",
,C,5:14,5:15,Yeah,
,All,5:22,5:27,"Oh, maybe it's like when you're on acid. What things activate the most?",
,B,5:35,5:38,"Okay, so 4213 is what you're saying?",
,All,5:46,5:47,Imagine.,
,D,5:51,5:53,"I don't know. Yeah, we can try that.",
,B,5:57,5:58,You're...,
,D,6:04,6:06,2.105.,
,Zhou,6:13,6:15,Can you hear me?,
,D,6:18,6:21,Let's find out how much the brain weighs.,
,D,6:27,6:30,"Oh, you could.",
,D,6:30,6:40,"Is there anything besides ounces? Milliliters! Let's try milliliters. Surely it's the same order, right?",
,D,6:52,7:05,"Maybe. Oh, wait. Are these mixed up? Because this says acid vials from strongest to weakest. And then this here is... These are vials. And maybe they have acid.",
,D,7:10,7:13,Maybe we need to weigh these.,
,All,7:18,7:20,"Why does this say milk? Like it says, milk.",
,C,7:27,7:30,It's in units of milk.,
,All,7:32,7:34,"Wait, I don't even need to weigh this.",
,B,7:06,7:37,Yeah,
,B,7:42,7:45,But it looks yummy.,
,All,7:45,7:47,These are the same.,
,All,7:48,7:53,"I ministered first, and then I handle this one.",
,All,8:16,8:20,"Yeah, Maybe these are probably connected. I bet you these are all connected.",
,B,8:23,8:25,Yeah. Okay,
,D,8:26,8:32,1014 probably not. But we can try it.,
,All,8:40,8:41,No luck.,
,All,8:49,8:58,Do these have numbers on them? Three? R-4 and Batch 2. Batch one are... okay. One two.,
,All,9:01,9:02,This is a stabilizer.,
,Zhou,9:12,9:14,"Ooh, can I drink this?",
,A,9:18,9:20,Weakest to strongest.,
,A,9:25,9:26,So this one's probably the strongest.,
,A,9:32,9:35,Stabilizer? This one's probably the weakest.,
,A,9:36,9:38,So one and two.,
,A,9:47,9:49,"One, two, one, two, maybe.",
,Zhou,10:03,10:05,Okay,
,B,10:17,10:18,Yeah,
,All,10:19,10:21,Any luck? have we gotten anything?,
,All,10:41,10:42,"Oh, I can't turn it in.",
