speaker,receiver,start,end,transcript,notes_challenges
C,Other,0:07,0:10,"okay, red means it's recording? Or not recording",
,All,0:20,0:21,aww,
,Other,0:30,0:32,oh like a movie clap?,
,B,0:37,0:41,"um, oh really already?",
,All,0:47,0:51,"okay wait hang on, what is the world building here, we're in a zombie apocalypse?",
,A and D,1:55,1:58,"okay, what are you guys getting from your first skim?",
,A and B,2:29,2:33,that one is a bunch of like uh government lab documents,
,A,2:35,2:37,"what's your, what's your strategy",I think the receiver is B for these ones - Joomi
,A,2:39,2:39,ah,I think the receiver is B for these ones - Joomi
,A,2:46,2:48,what's the one that you're least sure about?,I think the receiver is B for these ones - Joomi
,A,2:52,,you're just going to test them all,Couldn't tell exactly what was said here.
,A,3:05,3:07,are you actually going to try them all?,
,A and B,3:08,3:09,"okay so, what have you figured out so far?",I think the receiver is B for these ones - Joomi
,B,3:13,3:14,"yeahh, okay",
,B,3:26,3:29,"wait so, we're taking it standing behind them looking at their head direction?",
,B,3:31,3:32,okay,
,B,3:35,3:35,mhm,
,B,3:44,3:55,"Huh, okay, so, okay so this is left, this is like straight up, this is, this is down or how did you read this one?",
,B,4:03,4:03,yeahh,
,All,4:08,4:10,"oh wait, hang on, look cool guys.",
,B and D,4:25,4:27,"oh right, yours has colors. what did you see from yours?",
,D,4:32,4:32,okay,
,D,4:36,4:38,"Oh really? Cool, okay.",
,All,4:40,4:42,"okay, so we have to come back to this one later then",I think this is just D
,A,4:45,4:46,any luck on this?,
,A and B,5:01,5:05,"oh so these are labeled from weakest to strongest already, is that the implication?",
,A and B,5:07,5:08,oh okay,couldn't tell if it was directed towards player A or B
,A and B,5:14,5:15,oh my god,
,A,5:16,5:17,this is from AP chem,
,B,5:20,5:23,weak acid is high or low PH,
,B,5:25,5:28,"okay, does that matter? Are we getting AP chem tested? okay.",
,All,5:42,5:47,what are these? okay I didn't expect it to open....these are eyeballs?,
,A and B,5:50,5:52,so what do the numbers on these mean?,
,A,6:00,6:01,the things that are affected first?,
