speaker,receiver,start,end,transcript,notes_challenges
D,Other,0:35,0:35,Is this part of it?,
,Other,0:39,0:41,"Oh ok, I can go over there then",
,A,2:14,2:14,How many numbers are there?,
,A,2:16,2:16,Or like?,
,A,2:55,2:57,Theres another four number lock over there. Might be..,
,A,2:59,2:59,What?,
,A,3:01,3:03,"No like the that, that, lock over there",
,A,3:04,3:04,You could try opening,
,A,3:05,3:05,"And then, yeah",
,B and C,3:29,3:30,Are there like four color things?,
,B and C,3:33,3:34,"Theres like four colors like the yellow, the blue",
,B and C,3:36,3:37,"Green, is there any other? Anything else with colors",
,B and C,3:40,3:40,Those are colors over there,
,C,3:47,3:49,"So this one says, so after the purple lock light has been unlocked which is over there",
,B and C,3:50,3:54,And then get to pour the chemicals,
,C,4:00,4:01,I think so,
,A,4:50,4:50,Did you try lightest to heaviest?,
,A,4:52,4:52,Ok,
,All,5:39,5:41,Do you think its something with the actual weights?,
,None,5:45,5:45,How much do they actually,
,A,5:51,5:51,"This is, hold on that not how the scale works",
,A,5:58,5:58,Two pounds,
,A,6:05,6:05,Oh there not like even,
,A,6:10,6:10,two point five,
,A,6:17,6:17,"two point seven six nine pounds, is that true?",
,A,6:19,6:19,Can we change the units?,
,A,6:23,6:23,I wonder if you can,
,A,6:27,6:27,Milliliters,
,A,6:33,6:33,Yeah,
,A,6:48,6:48,That says weight collection,
,A,6:59,7:01,"Theres red and blue, and green",
,B,7:18,7:18,What did he say?,
,C,7:35,7:37,"Um ten, did we try 10:30 on the left yet. On the left",
,C,7:46,7:46,"Did I, I think its the same",
,C,7:47,7:47,Nope,
,C,7:53,7:53,I dont know if I did it right hold on,
,All,8:08,8:08,Blue red green is what the colors in there are,
,C,8:10,8:10,What other three,
,All,8:16,8:16,Ten Fourteen,
,C,8:17,8:17,Maybe,
,A,8:19,8:19,Does ten fourteen work on the lock?,
,B,8:29,8:29,Yeah,
,C,8:41,8:41,Did the zombies escape?,
,C,8:44,8:44,Thats not good,
,C,8:55,8:55,Oh no,
,C,9:03,9:03,Ok,
,C,9:24,9:25,Were struggling,
,C,9:45,9:45,Um,
,Other,9:54,9:54,The four tables?,
,All,10:51,10:52,How many directions does it take to unlock,
,All,12:09,12:09,The scientists turn into zombies,
,B,12:29,12:38,Some of them are on the ground and some of them are floating,
,B,12:40,12:42,They're like off the ground,
,B,12:44,12:44,Capture and stick in place,
,B,12:46,12:46,This ones like on the ground,
,B,12:50,12:50,I dont know how that corresponds with directions,
,B,13:18,13:18,That ones left,
,B,13:23,13:23,Yeah,
,B,13:31,13:34,Are we just looking for an ordering of up down left right,
,B,13:38,13:38,so Like,
,C,13:45,13:47,Oh yeah there are four of them in full lab coats,
,C,13:51,13:54, So then left down right up,
,C,14:03,14:03,Oh ok nice,
,None,15:23,15:25,Reversals on the cures,Reading the zombie document
,All,15:33,15:38,Do you think we find like three of those pages those dates. Or something,
,Other,16:35,16:35,Ok,
,All,16:43,16:45,"Ok, so the one that matches that node",
,All,16:49,16:50,Temporary reversal,Reading / Communicating with group
,All,17:02,17:04,The only thing is the pink thing right,
,B and C,18:47,18:54,Oh there are three blacked out words. Do you think you could replace them with reversal zombie cures?,Clear communication with group
,B and C,19:00,19:01,"For the zombie, yeah",To group / self
,B and C,19:30,19:32,I feel like this ones the best then,
,B and C,19:33,19:35,Three Twelve Five,
,C,19:50,19:50,Nice,
,Self,20:53,20:58,if we convert to ounces do we get like a reasonable,Setting scale for jar
,All,21:17,21:21,I think if any of them give us a range from zero to ten or something,
,C,21:30,21:30,Oh it is ok,
,A,21:38,21:43,what is on the lock? There are more numbers on the lock right?,Player A holds the lock
,All,22:18,22:23,"We could go first letter, like, A - B",
,C,22:26,22:26,Yeah thats true there are numbers,Self / Group
,A,22:36,22:39,"Those are all one to ten, five two, five",
,B,22:42,22:49,"Well yeah E is five, H is eight",Starts by talking to B then to group
,A,23:04,23:06,H is eight,
,All,23:20,23:22,Ordered from lighest to heaviest,
,A,24:17,24:19,"Its the, have you been putting it in here?",Points out how to open lock correctly
,A,24:41,24:45,"You didnt try the one two three fours right, yeah",
,A,25:06,25:08,If you reverse it,
,A,25:12,25:15,"Two four three one, if you go one three",
,A,25:28,25:30,What if you try two eight five five,
,C,25:35,25:36,"That was from the letters thing again, I dont know if thats",
,A,26:43,26:46,You did try the one two three four combination right?,
,None,26:48,26:50,label them weakest to strongest,Putting the jars on the scale
,C,27:06,27:08,Yeah right,
,None,27:09,27:12,"So its one four, twenty three",
,A,27:14,27:16,"One four three two, did you do that already?",
,None,27:51,27:51,Did I read it wrong,Zhou is adjusting jars and scale
,None,27:59,28:00,Ok wait,
,A,28:05,28:06,I think three was last,
,All,28:28,28:30,So we first do the purple light?,"A, B, C are around the last table"
,A,28:33,28:33,The purple light,
